part,material,material_first_vertex,vertex_count,obj_first_vertex,obj_vertex_count
Coat/Bodice,Cloth,0,552,0,552
Coat/Lapel_L,Cloth,552,120,552,120
Coat/Lapel_R,Cloth,672,120,672,120
Coat/PocketTrim_L,Cloth,792,74,792,74
Coat/PocketTrim_R,Cloth,866,74,866,74
Coat/Skirt_L,Cloth,940,520,940,520
Coat/Skirt_R,Cloth,1460,520,1460,520
Coat/Sleeve_L,Cloth,1980,216,1980,216
Coat/Sleeve_R,Cloth,2196,216,2196,216
Coat/Mantle,Cloth,2412,384,2412,384
Coat/MantleSeam_L,Cloth,2796,66,2796,66
Coat/MantleSeam_R,Cloth,2862,66,2862,66
Coat/Collar,Cloth,2928,400,2928,400
Vest/FrontBib,ClothAccent,0,384,3328,384
Vest/FrontBib_Rim_v_hi,ClothAccent,384,768,3712,768
Vest/FrontBib_Rim_u_lo,ClothAccent,1152,768,4480,768
Vest/FrontBib_Rim_u_hi,ClothAccent,1920,768,5248,768
Vest/SeamTape_L,ClothAccent,2688,50,6016,50
Vest/SeamTape_R,ClothAccent,2738,50,6066,50
Coat/Bodice_Lining,ClothAccent,2788,552,6116,552
Coat/Bodice_Rim_v_lo,ClothAccent,3340,1104,6668,1104
Coat/Bodice_Rim_u_lo,ClothAccent,4444,1104,7772,1104
Coat/Bodice_Rim_u_hi,ClothAccent,5548,1104,8876,1104
Coat/Lapel_L_Lining,ClothAccent,6652,120,9980,120
Coat/Lapel_L_Rim_v_lo,ClothAccent,6772,240,10100,240
Coat/Lapel_L_Rim_v_hi,ClothAccent,7012,240,10340,240
Coat/Lapel_L_Rim_u_hi,ClothAccent,7252,240,10580,240
Coat/Lapel_R_Lining,ClothAccent,7492,120,10820,120
Coat/Lapel_R_Rim_v_lo,ClothAccent,7612,240,10940,240
Coat/Lapel_R_Rim_v_hi,ClothAccent,7852,240,11180,240
Coat/Lapel_R_Rim_u_hi,ClothAccent,8092,240,11420,240
Coat/Skirt_L_Lining,ClothAccent,8332,520,11660,520
Coat/Skirt_L_Rim_v_hi,ClothAccent,8852,1040,12180,1040
Coat/Skirt_L_Rim_u_lo,ClothAccent,9892,1040,13220,1040
Coat/Skirt_L_Rim_u_hi,ClothAccent,10932,1040,14260,1040
Coat/Skirt_R_Lining,ClothAccent,11972,520,15300,520
Coat/Skirt_R_Rim_v_hi,ClothAccent,12492,1040,15820,1040
Coat/Skirt_R_Rim_u_lo,ClothAccent,13532,1040,16860,1040
Coat/Skirt_R_Rim_u_hi,ClothAccent,14572,1040,17900,1040
Coat/Sleeve_L_Lining,ClothAccent,15612,216,18940,216
